,ad title,link,year of construction,fuel,transmission,vehicle type,mileage (km)
93,Opel Astra 1.4 Turbo 103KW Sp.tourer AUT 2012 Grijs,marktplaats.nl/v/auto-s/opel/m2038968249-opel-astra-1-4-turbo-103kw-sp-tourer-aut-2012-grijs,2012.0,Benzine ,Automaat ,Stationwagon ,184500.0
94,Opel Mokka 1.4T 140PK Cosmo | Navigatie | Camera | Trekhaak,marktplaats.nl/v/auto-s/opel/m2064298913-opel-mokka-1-4t-140pk-cosmo-navigatie-camera-trekhaak,2014.0,Benzine ,Handgeschakeld ,SUV of Terreinwagen ,71117.0
95,OPEL ASTRA Turbo 140pk AUT Sport+BJ2015 KM105 LEASE€ 169 N,marktplaats.nl/v/auto-s/opel/m2060838856-opel-astra-turbo-140pk-aut-sport-bj2015-km105-lease-169-n,2015.0,Benzine ,Automaat ,Sedan ,105869.0
96,Opel Corsa 1.3 Cdti 70KW 5D 2011 Grijs,marktplaats.nl/v/auto-s/opel/m2061774867-opel-corsa-1-3-cdti-70kw-5d-2011-grijs,2011.0,Diesel ,Handgeschakeld ,Hatchback ,96291.0
97,"Opel Mokka 1.2i-T GS Sport, Apple/Android, GRATIS 50/50 DEAL",marktplaats.nl/v/auto-s/opel/m2066302581-opel-mokka-1-2i-t-gs-sport-apple-android-gratis-50-50-deal,2022.0,Benzine ,Handgeschakeld ,MPV ,26963.0
98,Opel Corsa 1.2 Elegance|Carplay|Airco|Cruise|Navi,marktplaats.nl/v/auto-s/opel/m2058212352-opel-corsa-1-2-elegance-carplay-airco-cruise-navi,2020.0,Benzine ,Handgeschakeld ,Hatchback ,135586.0
99,Opel Vivaro Bestelbus L2 H1 2018 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1488642164-opel-vivaro-bestelbus-l2-h1-2018-diesel-handgeschakeld,2018.0,Diesel ,Handgeschakeld ,,147717.0
100,Opel Astra 1.6 2007 Airco! Nieuwe Apk! ( inruilen mogelijk),marktplaats.nl/v/auto-s/opel/m2063089470-opel-astra-1-6-2007-airco-nieuwe-apk-inruilen-mogelijk,2007.0,Benzine ,Handgeschakeld ,Hatchback ,183301.0
101,Opel Meriva 1.6-16V Enjoy |AIRCO|1E EIG|HOGE INSTAP|,marktplaats.nl/v/auto-s/opel/m2064390341-opel-meriva-1-6-16v-enjoy-airco-1e-eig-hoge-instap,2007.0,Benzine ,Handgeschakeld ,MPV ,177254.0
102,Opel Combo Bestelbus L2 H1 2017 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1495512515-opel-combo-bestelbus-l2-h1-2017-diesel-handgeschakeld,2017.0,Diesel ,Handgeschakeld ,,121989.0
103,Opel Vivaro Bestelbus L1 H1 2019 Diesel Handgeschakeld,marktplaats.nl/v/auto-s/opel/a1494284151-opel-vivaro-bestelbus-l1-h1-2019-diesel-handgeschakeld,2019.0,Diesel ,Handgeschakeld ,,100800.0
104,Opel Verkopen? | Auto Inkoop | Schadeauto Verkopen | EXPORT,marktplaats.nl/v/auto-s/opel/a1175702733-opel-verkopen-auto-inkoop-schadeauto-verkopen-export,,,,,
105,Opel Corsa Verkopen? Astra Vectra Vivaro Combo? BESTE PRIJS!,marktplaats.nl/v/auto-s/opel/a1451720178-opel-corsa-verkopen-astra-vectra-vivaro-combo-beste-prijs,,,,,
106,Opel Crossland X 1.2 Turbo Edition AUT|CARPLAY|STUUR-STOELVE,marktplaats.nl/v/auto-s/opel/m2059413048-opel-crossland-x-1-2-turbo-edition-aut-carplay-stuur-stoelve,2020.0,Benzine ,Automaat ,SUV of Terreinwagen ,15343.0
107,Opel Corsa 1.4 bouwjaar 2006! automaat  apk ! Airco,marktplaats.nl/v/auto-s/opel/m2065592769-opel-corsa-1-4-bouwjaar-2006-automaat-apk-airco,2006.0,Benzine ,Automaat ,Hatchback ,99852.0
108,Opel Agila 1.0 | Lage KM | NL Auto | DEALER ONDERHOUDEN,marktplaats.nl/v/auto-s/opel/m2058706637-opel-agila-1-0-lage-km-nl-auto-dealer-onderhouden,2012.0,Benzine ,Handgeschakeld ,Hatchback ,80000.0
109,Opel Karl 1.0 Ecoflex 55KW 2017 Grijs,marktplaats.nl/v/auto-s/opel/m2059316414-opel-karl-1-0-ecoflex-55kw-2017-grijs,2017.0,Benzine ,Handgeschakeld ,Hatchback ,162100.0
110,Opel Corsa 1.2-16V Silverline|AUTOMAAT|NAP|LM VELGEN|TREKH,marktplaats.nl/v/auto-s/opel/m2066107604-opel-corsa-1-2-16v-silverline-automaat-nap-lm-velgen-trekh,2006.0,Benzine ,Automaat ,Hatchback ,51300.0
111,Opel Combo Bestelbus L2 H1 2019 Diesel Automaat,marktplaats.nl/v/auto-s/opel/a1495711107-opel-combo-bestelbus-l2-h1-2019-diesel-automaat,2019.0,Diesel ,Automaat ,,177153.0
